applicant_id,age,city_tier,employment_type,monthly_income_inr,income_volatility,upi_inflow_avg_inr,upi_transaction_count,monthly_expense_inr,emi_obligations_inr,credit_bureau_score,existing_loans_count,ever_defaulted,gst_filing_months,avg_monthly_gst_inr,loan_amount_requested,loan_tenure_months,loan_purpose,default_probability,risk_label,is_thin_file
bdd640fb-0667-4ad1-9c80-317fa3b1799d,43,Tier3,Salaried,42666.5,0.0823,39704.47,124,18065.78,0.0,,0,False,,,756127.32,48,Medical,0.5333,High,True
23b8c1e9-3924-46de-beb1-3b9046685257,45,Tier3,Self-employed,17802.85,0.5575,19851.98,173,9339.29,0.0,,0,False,1,2437.03,62408.67,12,Personal,0.4979,Medium,True
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,51,Tier2,Self-employed,57005.13,0.6689,49957.86,26,25273.23,0.0,889,0,False,19,4759.65,607045.76,36,Home,0.3481,Medium,False
972a8469-1641-4f82-8b9d-2434e465e150,40,Tier2,Self-employed,64503.22,0.0795,68880.08,22,37766.66,0.0,,0,True,21,10678.25,1230943.47,36,Business,0.7439,High,True
17fc695a-07a0-4a6e-8822-e8f36c031199,51,Tier1,Salaried,9847.08,0.3986,9546.63,104,4325.37,0.0,,0,False,,,196941.6,36,Business,0.5376,High,True
9a1de644-815e-46d1-bb8f-aa1837f8a88b,53,Tier3,Self-employed,15013.22,0.111,14675.87,96,6009.44,0.0,769,0,False,9,1053.83,284667.81,48,Home,0.3211,Medium,False
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,40,Tier1,Salaried,38032.62,0.4755,39676.65,75,22913.58,1324.14,899,3,False,,,760652.4,12,Home,0.2819,Medium,False
6b65a6a4-8b81-48f6-b38a-088ca65ed389,35,Tier3,MSME,28496.76,0.276,25203.22,289,13150.0,0.0,354,0,False,7,3806.65,368429.86,36,Business,0.5449,High,False
47378190-96da-4dac-b2ff-5d2a386ecbe0,29,Tier3,MSME,34619.85,0.7245,34722.56,300,15274.0,4882.72,,1,False,6,1307.33,109809.51,6,Home,0.6334,High,True
c241330b-01a9-471f-9e8a-774bcf36d58b,54,Tier3,Salaried,20103.01,0.1937,18978.58,150,9293.21,6338.46,,3,False,,,402060.2,60,Business,0.601,High,True
